0.43	0.43
0.88	0.88
1.35	1.35
1.80	1.80
2.27	2.27
2.63	2.63
3.15	3.17
3.62	3.62
4.02	4.05
4.52	4.55
0.43	0.43
0.90	0.90
1.35	1.35
1.80	1.82
2.25	2.30
2.75	2.85
3.27	3.38
3.88	5.12
4.52	6.48
6.50	9.22
0.43	0.43
0.90	0.90
1.35	1.37
1.82	1.87
2.35	2.85
2.98	4.10
5.62	9.02
12.15	25.73
79.18	89.08
145.40	154.00
0.43	0.43
0.90	0.90
1.37	1.42
1.90	2.32
3.40	5.28
7.50	17.00
97.25	105.17
156.30	162.60
217.03	221.28
269.60	273.98
0.43	0.45
0.90	0.92
1.42	1.68
2.55	4.03
34.72	45.82
122.27	128.93
201.67	207.25
260.18	263.13
304.53	307.03
336.05	340.22
0.45	0.45
0.92	0.93
1.53	2.20
10.45	20.12
136.32	140.88
205.00	210.28
286.03	288.03
319.92	322.78
366.57	367.98
382.98	386.28
0.45	0.45
0.93	0.97
2.27	3.85
92.68	100.63
208.57	212.72
273.02	276.08
339.08	341.98
369.53	372.48
399.72	401.05
423.25	424.82
0.45	0.45
0.95	1.17
12.90	21.78
162.75	167.18
267.53	270.65
317.17	319.60
370.48	373.63
400.67	400.68
437.62	439.13
443.48	447.40
0.45	0.45
1.03	1.52
77.58	83.73
218.22	221.25
309.12	311.53
352.05	354.93
403.93	406.08
431.15	432.63
462.68	463.63
475.08	477.15
0.45	0.45
1.25	2.02
134.82	138.57
261.88	264.82
339.75	340.67
384.12	384.68
427.92	429.13
454.03	454.77
481.37	483.90
481.47	482.22
